text,disease,section
"a minor head injury is an injury (like a bump or a cut) to the head that doesn’t result in any serious brain injury. sometimes a minor head injury can cause concussion, but this is not always the case. it can be hard to tell the difference between a minor and a severe head injury. read about severe head injuries minor head injuries often cause a bump or bruise. other symptoms of a minor head injury may include: you or someone else has a head injury and: you or someone else has a head injury and: most people who go to hospital with a minor head injury can return home shortly afterwards. they should make a full recovery within a few days. there are some things you can do to manage minor head injuries at home. you should: it’s also recommended that you: if your child has a minor head injury, they may cry or be distressed.",Minor head injury,
"g gas infection] gas are spread by close contact between individuals, through respiratory droplets (moisture in your breath) and direct skin contact. to help reduce the risk of picking up or spreading infections: gas can be a secondary infection, developing in people who are already unwell with illnesses like the flu. you can help protect your child from this risk by making sure they get their free flu vaccine this winter. new evidence also shows that the nasal spray flu vaccine offered to children may also protect them from gas infection. source: nhs 24 last updated: 08 july 2025",Streptococcus A (strep A),
"your injury may be referred to as a fracture, break or crack. these terms all mean the same thing. when you have a fracture, it’s not just the bone that’s affected. you’ll also have injured some of the soft tissues around it. soft tissues include the: after a metacarpal fracture of the hand, most of the healing happens between 3 to 4 weeks. it’s normal to have aches and discomfort beyond this. this often happens when you try activities you haven’t done for a while. it’s also normal for the area to be more sensitive for several months after the injury. there are some things that might affect your recovery. smoking affects all your tissues and slows facture healing times. in some people, it can stop healing altogether. stopping smoking as your fracture heals will help to ensure the best recovery. get help to stop smoking.",Metacarpal fracture of the hand,
"ctivities. pain medication can help you move more comfortably, which can help manage your symptoms. more about taking painkillers. using heat or ice on your shoulder can help reduce symptoms. both heat and ice help reduce pain. you can use whichever feels most helpful for you. use a barrier, like a towel, to protect your skin from a heat or ice burn. never place heat or ice directly on your skin. apply for no longer than 20 minutes at a time and leave a few hours between treatments. how to avoid hot water bottle burns and scalds – care of burns in scotland you should stop treating the area with heat or ice if you notice an increase in redness, discolouration or blistering of the skin. read more about burns and scalds if you have any issues with circulation or sensation, you shouldn’t use heat or ice as a treatment for shoulder pain.",Frozen shoulder,
"p you include more food and liquids that are easy to swallow. if there’s a risk of malnutrition and dehydration, you might be offered a feeding tube. an occupational therapist will assess your home for hazards that could cause you to fall and injure yourself. there might be things that can be fitted around your home to make it safer for you like handles around the bath. read more about occupational therapy if you have problems controlling your eyelids, botulinum toxin (like botox) can help relax your eyelid muscles. it usually lasts up to 3 months. if you have dry eyes because of reduced blinking, eyedrops can be used to reduce irritation. you might want to try wearing dark wraparound glasses if you’re sensitive to light (photophobia). there are also glasses you can wear to help you if you have problems looking down (prisms). you can choose to have palliative care at any stage of psp in addition to other treatments.",Progressive supranuclear palsy (PSP),
"ms, you must: you may still have a cough or feel tired after your other symptoms have gone. this doesn’t mean that you’re still infectious to others. further information about visiting care homes and respiratory infections you or your child: most aris pass within 3 weeks. there are some things you can do to help relieve your symptoms until the infection clears up. you can speak to a pharmacist for advice about acute respiratory infections and the treatments available. your pharmacist can also advise you on whether you need to see a gp about your symptoms. treatment for acute respiratory infections depends on what’s causing the infection. if the infection is caused by a virus, like the common cold, your gp will not prescribe antibiotics. your gp may prescribe antibiotics if the infection is caused by bacteria, for example, if you have a chest infection.",Acute respiratory infection (ARI),
"isodes of anaphylaxis. read more about preventing anaphylaxis. anaphylaxis is not common, but people of all ages can be affected. people with other allergic conditions, such as asthma or the allergic skin condition atopic eczema, are most at risk of developing anaphylaxis. although the condition is life threatening, deaths are rare. there are around 20 deaths in the uk each year. with prompt and proper treatment, most people make a full recovery. source: nhs 24 last updated: 01 june 2026",Anaphylaxis,
"s usually an intense headache on one side of the head. in some cases, the pain can occur on both sides of your head and may affect your face or neck. the pain might get worse when you move and may stop you from carrying out normal activities. other symptoms associated with migraine include: not everyone with migraine experiences all of these symptoms. some people may experience them without having a headache. the symptoms of a migraine attack usually last between 4 hours and 3 days. you may feel very tired for up to a week afterwards. about 1 in 3 people with migraine have temporary warning symptoms, known as aura, before a migraine. these include: aura symptoms typically develop over the course of about 5 minutes and last for up to an hour. the aura might start before the headache or you might experience it at the same time as a headache. some people may experience aura followed by only a mild headache or no headache at all.",Migraine,
"vasculitis is a group of rare conditions that cause inflammation in the blood vessels. in this video, nicola talks to rosemary hollick, a rheumatologist, about her experience of living with vasculitis. they discuss: vasculitis is a group of rare conditions that cause inflammation in the blood vessels. blood vessels in any part of the body can be affected, including the: people are affected in different ways and to different extents. it can be mild, severe or life threatening. in her video, nicola explains some things that have helped her deal with vasculitis. these include: find out more about vasculitis from vasculitis uk source: nhs greater glasgow and clyde last updated: 31 july 2026",Living with vasculitis,
"ondition feel satisfied with their lives. many children with down’s syndrome attend mainstream school and receive additional support if they need it. babies with down’s syndrome are included in the secure congenital and rare condition (cardriss) register. the register is maintained by public health scotland. the register records how many babies have this condition, and some relevant personal information. it’s also used to support the planning and improvement of health, care, and other public services. read more about cardriss many children with down’s syndrome have similar health conditions to all children. some health conditions can be more common in people with down’s syndrome, but some are less common. regular health checks can make sure any health conditions are picked up early and managed. down’s syndrome is not a life-limiting condition.",Down’s syndrome,
"icial tears are not helping. bladder problems are common in patients with muscle disorders like muscular dystrophy. you might experience urinary incontinence, where you pee by accident. this is often caused by weakness of the pelvic floor muscles, combined with weakness of the core muscles. you’re more likely to experience urinary incontinence if you: pelvic floor exercise may be helpful. an urgent need to pee can sometimes be helped with medication. you might experience bowel problems like: if you tend to drink less water than is recommended to avoid going to the toilet during the day this could cause dehydration. this can make constipation worse and contribute to bowel problems. using a gentle laxative like lactulose regularly during the week may help. it’s common to experience pain as part of your symptoms of fshd. you might be prescribed painkillers to help manage your pain.",Facioscapulohumeral muscular dystrophy (FSHD),
"y also have an anti-inflammatory effect. calcineurin inhibitors, like tacrolimus and pimecrolimus, are ointments or creams. they reduce the activity of the immune system and help inflammation. they’re sometimes used to treat psoriasis in sensitive areas (like the scalp, genitals and folds of the skin) if steroid creams don’t help. coal tar is a thick, heavy oil. how it works isn’t exactly known, but it can reduce scales, inflammation and itchiness. it may be used if other topical treatments aren’t effective. coal tar can stain clothes and bedding, and has a strong smell. it can be used with phototherapy. dithranol can stop the production of skin cells and has few side effects. it’s usually used as a short-term treatment under hospital supervision. dithranol is applied to your skin and left for 10 to 60 minutes before being washed off.",Psoriasis,
"always trust your instincts and phone 999 if you think there’s an emergency. your child: you or your child: phone 111 if your gp practice is closed. trust your instincts and phone 111 if your child’s symptoms are getting worse or they are sicker than you’d expect (even if their temperature falls). sepsis is a serious complication of an infection. without quick treatment, sepsis can lead to multiple organ failure and death. the immune system usually keeps an infection limited to one place. this is called a localised infection. to do this, the body produces white blood cells. white blood cells travel to an infection site to destroy the germs causing the infection. this triggers tissue swelling, known as inflammation. this helps to fight the infection and prevent it from spreading.",Sepsis,
"rmation on occupational therapy if you have arthritis, it’s important to look after your joints to prevent more damage. if you have arthritis, carrying out tasks around the home can be a challenge. but, making some practical changes to your home and changing the way you work should make things easier. living with arthritis isn’t easy. carrying out simple, everyday tasks can often be painful and difficult. but, there are many things you can do to make sure you live a healthy lifestyle. many people with arthritis want to continue to work for many reasons. for example, for better financial security and higher self-esteem. you may find work challenging, but your employer should help you get the training and support you need. speak to your line manager or hr department about your condition to get the right support. treatment can also help you return to work after being diagnosed with arthritis.",Arthritis,
"llbladder cancer doesn’t usually cause symptoms. if there are symptoms they may be similar to those of gallstones or inflammation of the gallbladder. when a person has symptoms caused by gallbladder cancer, the cancer is usually at a more advanced stage. the symptoms may include: macmillan cancer support has more information about the symptoms of gallbladder cancer. doctors don’t know the exact causes of gallbladder cancer. but there are risk factors that can increase your chance of developing it. having 1 or more risk factors doesn’t mean you will get gallbladder cancer. and not having any risk factors doesn’t mean you’ll not get gallbladder cancer. gallbladder cancer is most common in people aged over 75. gallbladder cancer is more common in women than men. people with a history of gallstones or an inflamed gallbladder (cholecystitis) have a higher risk.",Gallbladder cancer,
"coeliac disease is a common autoimmune condition where the immune system in a person’s intestine (gut) reacts when they eat gluten. this causes chronic inflammation. gluten is a protein found in wheat, barley and rye. gluten is found in food and drink that contains wheat, barley and rye, such as: coeliac disease affects 1 person in every 100. only about one third of them are ever diagnosed. coeliac disease can be diagnosed at any age. reported cases of coeliac disease are twice as high in women than men. coeliac disease can cause a wide range of symptoms in the digestive system and rest of the body. symptoms can develop at any age, but coeliac disease is most commonly diagnosed between the ages of 40 and 60 years. more about the symptoms of coeliac disease or what is coeliac disease?",Coeliac disease,
"istent facial pain, particularly if standard painkillers such as paracetamol and ibuprofen do not help and a dentist has ruled out any dental causes. your gp will try to identify the problem by asking about your symptoms and ruling out conditions that could be responsible for your pain. however, diagnosing trigeminal neuralgia can be difficult, and it can take a few years for a diagnosis to be confirmed. read more about diagnosing trigeminal neuralgia in the vast majority of cases, trigeminal neuralgia is caused by compression of the trigeminal nerve. this is the largest nerve inside the skull, which transmits sensations of pain and touch from your face, teeth and mouth to your brain. this compression is usually caused by a nearby blood vessel pressing on part of the nerve inside the skull.",Trigeminal neuralgia,
"cervical cancer develops very slowly from abnormal cell changes in the cervix. these changes don’t cause any symptoms, but they may be found with cervical screening tests. if the tests show abnormal cell changes, treatment can prevent cancer developing. the cervix is the lower part of the womb (uterus) that joins to the top of the vagina. it’s sometimes called the neck of the womb. people who have a cervix include women, transgender (trans) men and people assigned female at birth. each year, more than 3,200 women are diagnosed with cervical cancer in the uk. this type of cancer can affect all ages. there are 2 main types of cervical cancer. the most common is squamous cell carcinoma. this develops from a type of cell that covers the outside of the cervix, at the top of the vagina. the other type is adenocarcinoma. this develops from a different type of cell found in the cervical canal (the endocervix).",Cervical cancer,
"ne time. as you age the tissues around your joints age too. this natural aging can sometimes develop into osteoarthritis. with osteoarthritis, some of the cartilage (the protective surface that allows your joints to move smoothly) in the joint can be lost. bony growths can develop, and the area can become slightly inflamed (red and swollen). these changes are what cause the typical symptoms of pain, stiffness and swelling. the exact causes are not known there are several factors thought to increase your risk of developing the condition. these include: although it’s not possible to prevent, making some lifestyle changes can reduce your risk of osteoarthritis. maintaining a healthy weight may lower your chances of developing the condition. there’s no definitive test to diagnose osteoarthritis. your gp or healthcare professional will ask about your symptoms.",Osteoarthritis,
"ermatitis herpetiformis (dh)] dh is caused by the body’s immune system reacting to a protein called gluten in foods containing wheat, barley and rye. this reaction causes a skin rash to develop. a diagnosis of dh is confirmed by a skin test called a skin biopsy. a skin biopsy is a procedure where a sample of skin is removed to be tested. as dh is strongly linked to coeliac disease, blood tests may be taken for this condition as well. during a skin biopsy test, a specialist skin doctor called a dermatologist will take a small sample of skin from an area without the rash. samples of skin taken from the area with the rash don’t always give an accurate result. the skin sample is then tested. if you test positive for dh you’ll be referred to a specialist gut doctor called a gastroenterologist to be tested for coeliac disease.",Dermatitis herpetiformis,
"heart. there are many different types of bandage or elastic stockings used to treat venous leg ulcers, which may be made in 2 to 4 different layers. the bandage is changed once a week, when the dressing is changed. when compression bandages are first applied to an unhealthy ulcer, it’s usually painful. ideally, you should have paracetamol or an alternative painkiller prescribed by your gp. you can get paracetamol from your local pharmacist or your gp. the pain will lessen once the ulcer starts to heal. it’s important to wear your compression bandage exactly as instructed. if you have any problems, it’s usually best to contact your nurse, instead of trying to remove it yourself. if the compression bandage feels a little too tight and is uncomfortable in bed at night, getting up for a short walk will usually help. however, you’ll need to cut the bandage off if: once you remove the bandage, keep your leg elevated and contact your doctor or nurse as soon as possible.",Venous leg ulcer,
ay also be monitored to support your recovery. for some people it can be helpful to prescribe medication in combination with psychological treatment. medication alone isn’t usually effective for eating disorders. read about the sign clinical guidelines for treatment of an eating disorder in scotland find information and services that can offer advice and support about eating disorders source: scottish government last updated: 06 july 2026 eating disorder (bsl) | eating disorder (audio) | eating disorders (easy read),Eating disorders,
"ve a thymoma. your healthcare team might still recommend having your thymus gland removed. this is because it can cause problems if it keeps growing. your thymectomy will usually be carried out through keyhole surgery. the thymus is removed using surgical instruments inserted through small cuts (incisions) in the chest. plasma exchange and ivig (intravenous immunoglobulin) can offer a quick improvement (within a few days) if you’re: plasma exchange is an emergency treatment that removes antibodies from your own blood. this treatment is given in hospital. the benefits can last around 6 weeks. ivig treatment involves an injection of normal antibodies from donated blood. this temporarily changes the way your immune system works. both treatments are similar and your healthcare team will decide which is the best option for you. although the benefits only last a few weeks, it can give time for the longer term treatments to take effect and help improve symptoms.",Myasthenia gravis,
"etimes they may also recommend blood tests to look for certain conditions associated with oral thrush, such as diabetes and nutritional deficiencies. low numbers of the fungus candida are naturally found in the mouth and digestive system of most people. they don’t usually cause any problems, but can lead to oral thrush if they multiply. there are a number of reasons why this may happen, including: babies, young children and elderly people are at a particularly high risk of developing oral thrush, as are people with certain underlying conditions, including diabetes, an iron deficiency or vitamin b12 deficiency, an underactive thyroid (hypothyroidism) and hiv. as most people already have candida fungi living in their mouth, oral thrush is not contagious. this means it cannot be passed to others. oral thrush can usually be successfully treated with antifungal medicines.",Oral thrush in adults,
"er than this, whereas older adults may sleep less. what’s important is whether you feel you get enough sleep, and whether your sleep is good quality. you’re probably not getting enough good-quality sleep if: the sleep charity has information to support parents and children. this video requires youtube cookies. update your consent. watch more videos about sleep on mind to mind find out how to get urgent help for your mental health your gp will first try to identify and treat any underlying health condition that may be causing your sleep problems. if it’s possible to identify an underlying cause of your sleeping difficulties, treating this may be enough to return your sleep to normal. insomnia can be triggered by many factors. it’s not always possible to identify a clear cause.",Insomnia,
"anal cancer is a cancer that starts in the anus. the anus is the opening at the end of the large bowel, which is part of the digestive system. it’s where you pass poo (stools) out of the body. it’s part of the large bowel which includes the colon and rectum. macmillan have more information about other types of bowel cancer including: in this video, clinical oncologist katherine aitkens explains bowel cancer, including anal cancer. she gives an overview of bowel cancer symptoms, diagnosis and treatment. in the uk, about 1,500 people develop anal cancer each year. it’s a rare cancer. but the number of people being diagnosed with anal cancer is increasing – especially women and people assigned female at birth. anal cancer is much more common in women than in men and people assigned male at birth. there are different types of anal cancer. knowing the type you have helps your doctor plan your individual treatment.",Anal cancer,
"s means that your healthcare professional will diagnose pcs using: there’s no specific treatment that cures pcs. but there are a lot of strategies that can help. for most patients the symptoms gradually improve over time. pacing strategies are often used to help manage pcs. these are strategies that allow you to gradually increase your activities. they can help you return to work and leisure activities. some activities can make pcs symptoms worse. you should avoid overstimulating activities that make your symptoms worse. these might include: you may be prescribed antidepressants or anti-migraine medication. this doesn’t mean your healthcare professional thinks you’re depressed or experiencing migraines. these medicines work by reducing abnormal nerve activity in the brain. this means they can help with the physical symptoms of pcs. if you’re experiencing psychological symptoms, antidepressants can also help with this.",Post-concussion syndrome,
"able. some people’s symptoms develop and worsen over time, while for others, they come and go. periods when symptoms get worse are known as relapses. periods when symptoms improve or disappear are known as remissions. some of the most common symptoms include: the symptoms can be similar to several other conditions, so they’re not necessarily caused by ms. ms is an autoimmune condition. this means your immune system mistakes part of your body for a foreign substance and attacks it. in the case of ms, it attacks the myelin sheath in the brain and/or spinal cord. this is the layer that surrounds your nerves, protecting them and helping electrical signals travel from the brain to the rest of the body. the attacks cause the myelin sheath to become inflamed in small patches (plaques or lesions). this can be seen on a magnetic resonance imaging (mri) scan.",Multiple sclerosis (MS),
"a food allergy is when the body’s immune system reacts unusually to specific foods. although allergic reactions are often mild, they can be very serious. symptoms of a food allergy can affect different areas of the body at the same time. some common symptoms include: read more about the symptoms of food allergies in the most serious cases, a person has a severe allergic reaction (anaphylaxis), which can be life threatening. if you think someone has the symptoms of anaphylaxis – such as breathing difficulties, lightheadedness, and feeling like they’re going to faint or lose consciousness – call 999. ask for an ambulance and tell the operator you think the person has anaphylaxis or “anaphylactic shock”. food allergies happen when the immune system – the body’s defence against infection – mistakenly treats proteins found in food as a threat. as a result, a number of chemicals are released.",Food allergy,
"hen this allows the build of tiny sharp crystals. in a flare of gout a reaction to these crystals results in pain, redness and swelling of the joint. things that may increase your chances of getting gout include: if you have gout, treatment is available from your gp to: symptoms can be relieved using ice packs and by taking medications like: with preventative treatment, like allopurinol, many people are able to reduce their urate levels enough to dissolve the crystals that cause gout. this means they’ll have no more flares. but, lifelong treatment is usually required. when using an ice pack, apply it to your joint for around 20 minutes. don’t apply ice directly to your skin and don’t apply it for more than 20 minutes at a time because this could damage the skin. if necessary, you can keep reapplying an ice pack to your skin during a flare. but, you should wait until your skin has returned to a normal temperature first.",Gout,
"use heat or ice as a treatment for ankle pain. reducing the swelling after an ankle sprain helps reduce the pain and increase the range of movement. read more about soft tissue injury advice as soon as possible gradually start to move the ankle through your normal range of movement. this may be uncomfortable but it’s important to start as soon as possible to help your recovery. stop if this becomes too painful for you and get in touch with your healthcare professional. the aim of rehabilitation is to improve your: if you’re diagnosed with an ankle sprain, your healthcare professional will discuss specific rehabilitation goals with you. however, the general timescales involved are you should see an improvement in movement and swelling. standing and walking should become easier. your walking should now be back to normal. your movement will be almost at 100% and swelling will be reducing.",Ankle sprain,
"mination is similar to a smear test and should only take a few minutes. your doctor will discuss with you if they think any further tests are needed. pelvic organ prolapse can affect the front, top or back of vagina. the main types of prolapse are: you can have more than one of these types of prolapse at the same time. a number system of 1 to 4 is usually used to describe how severe a pelvic organ prolapse is. for example, a 4 means a severe prolapse. you can ask your healthcare professional what this means for you, and any other questions you may have. there isn’t usually one cause, but the risk of developing pelvic organ prolapse is increased by: there are things you can do to reduce the risk of pelvic organ prolapse. this video requires youtube cookies. update your consent. treatment will depend on how much the issue is affecting your normal day to day activities.",Pelvic organ prolapse,
"eveloping croup symptoms. croup symptoms usually only last for a few days and are often worse at night. but they can occasionally last up to 2 weeks. your child: your child: if your gp practice is closed, phone 111. croup can usually be diagnosed by a gp. they’ll check your child’s symptoms, particularly the sound of their cough. if you can, record the noise your child is making on your phone so your gp can hear it. this can be helpful if your child only coughs at night. your gp may also: your gp will decide whether your child needs to go to hospital or whether their croup is safe to treat at home. you should not try to check your child’s throat yourself. it could trigger a spasm (sudden narrowing) of the airway. this could make breathing even more difficult. most cases of croup are mild and can be treated at home.",Croup,
"sickle cell disease is the name for a group of blood disorders. the most severe is sickle cell anaemia. sickle cell anaemia is an inherited condition that affects the red blood cells. in the uk, sickle cell disease is most common in people of african and caribbean backgrounds. in this video, chiamaka describes her experience of living with sickle cell anaemia. she explains: normal red blood cells are round. however, red blood cells affected by sickle cell anaemia harden and become sickle-shaped – like a crescent moon. this causes them to die too quickly and block blood vessels. this leads to symptoms that are often painful. sickle cell episodes are called crises. these cause severe pain that can affect any part of the body. crises happen suddenly without warning. in her video, chiamaka explains some things that help her deal with sickle cell anaemia.",Living with sickle cell anaemia,
"ng and while you’re unwell with vomiting and diarrhoea. in some cases, thirst may be caused by something as simple as a recent meal or snack. eating salty or spicy foods can cause you to suddenly feel thirsty. if you feel thirsty all the time, it could be a sign of diabetes – particularly if you also have other symptoms such as needing to urinate frequently, extreme tiredness (fatigue) and unexplained weight loss. diabetes is a lifelong condition that makes it difficult to control the level of sugar (glucose) in your blood. the high levels of glucose can mean your kidneys need to produce more urine to help pass the glucose out of your body. this can make you feel thirsty because your brain is telling you to drink more to make up for the fluids you’ve lost. if you feel thirsty all the time and have other symptoms, your gp will probably carry out a blood glucose test to see whether you have diabetes.",Thirst,
"drink as normal soon after the operation. like any operation, a splenectomy carries a small risk of complications, including bleeding and infection. your doctor will run through these risks with you. you should be given breathing and leg movement exercises to do at home, to reduce your risk of getting a blood clot or a chest infection. another risk is the surgical wound becoming infected. if you spot any signs of infection, contact your gp or hospital immediately, as you may need antibiotics. recovery usually takes a few weeks. your doctor or nurse will advise when you can go back to your usual activities, such as driving. if your spleen needs to be removed, other organs such as the liver can take over many of the spleen’s functions. this means you will still be able to cope with most infections. however, there is a small risk that a serious infection may develop quickly. this risk will be present for the rest of your life. th most infections. however, there is a small risk that a serious infection may develop quickly. this risk will be present for the rest of your life. source: nhs 24 last updated: 30 july 2026",Spleen problems and spleen removal,
"hock like: people with a weakened immune system have an increased risk of developing septic shock. this includes: you’ll usually be admitted to an intensive care unit (icu) so your body’s functions and organs can be supported while the infection is treated. in some cases treatment may start in the emergency department. treatment may include: to help you breathe more easily, you’ll be given oxygen through a face mask, a tube inserted into your nose, or an endotracheal tube inserted into your mouth. if you have severe shortness of breath, a mechanical ventilator may be used. you’ll probably be given fluids directly into a vein. this will help raise your blood pressure by increasing the amount of fluid in your blood. to increase the blood flow to your vital organs, such as your brain, liver, kidneys and heart, you may be prescribed inotropic medicines or vasopressors.",Septic shock,
"ocus on taking care of yourself and getting the help and support you need. you may feel guilty that the cancer will affect other people in your life. you may worry that they’ll find it difficult to cope. try to tell them how this makes you feel. it may help you, your family and friends to talk openly about how you’re feeling. you may feel alone or isolated. this could be because you don’t think you have support. family and friends may live far away, be busy or feel uncomfortable talking about the cancer. try to tell your family and friends how you feel. this can help them find ways to support you. you may have times when you want to be alone for a while. but if you find you’re avoiding people a lot of the time, try to talk to your doctor or nurse. macmillan cancer support has further information to support you. you can: source: macmillan cancer support last updated: 30 april 2026",Cancer and your emotions,
"24 hours after starting treatment with antibiotics. adults with the illness should also stay off work for at least 24 hours after starting treatment. gps, schools and nurseries should be aware of the current high levels of scarlet fever and inform local health protection teams if they become aware of cases, particularly if more than one child is affected. source: nhs 24 last updated: 04 august 2026",Scarlet fever,
"perthes’ disease, also known as legg-calvé-perthes disease, is a rare childhood condition that affects the hip joint. the blood supply to the ball in the ball and socket joint (the femoral head) is disrupted for a short time. this causes the bone to soften and change shape. this process is called avascular necrosis. over time, the bone can heal and regrow, but the shape and function of the hip may be affected. the symptoms of perthes’ disease are: if your gp practice is closed, phone 111. there is no known cause for perthes’ disease. it’s commonly found in children aged 4 to 9. it’s also more common in boys than girls. if your child has been diagnosed with perthes’ disease, they’ll be referred to your local orthopaedic service. they’ll monitor your child closely through regular outpatient appointments.",Perthes’ disease,
"may assess other areas of the body, particularly the neck. nerve conduction studies can also be performed but are not essential to make a diagnosis. blood tests are sometimes taken to see if there is another condition that may be contributing to the problem. for all wrist problems it’s important to remain active and effectively manage your pain levels. try to vary your activities during the day ensuring that you aren’t doing lots of repeated squeezing, gripping or wringing. try to alternate between heavier and lighter activities to reduce any strain. consider other ways of doing a task to reduce this or increase the amount of rest you take between such activities. you can use padded handles for cycling, gardening or golf. be aware of your wrist position and try and avoid having it bent in either direction for any prolonged period of time.",Carpal tunnel syndrome,
"blood pressure is the pressure of blood in the arteries. the arteries are vessels that carry blood from the heart around the body. there needs to be a certain level of pressure in the arteries to move blood around the body. but, if blood pressure is higher than recommended over time it increases the risk of cardiovascular diseases like stroke or heart attack. high blood pressure (or hypertension) is usually diagnosed if your blood pressure is regularly above 140/90 mmhg. you may be more at risk from high blood pressure if you: for some people, a cause of high blood pressure is found. this can include: about 1 in 10 women have high blood pressure during pregnancy. this might have been diagnosed before becoming pregnant or diagnosed for the first time during pregnancy. find out more about blood pressure and planning your pregnancy if you’re worried that your medication is affecting your blood pressure, speak to a healthcare professional.",High blood pressure (hypertension),
